Curie,Uri
DRUGBANK:DB15753,http://purl.obolibrary.org/obo/DRUGBANK_DB15753
DRUGBANK:DB00907,http://purl.obolibrary.org/obo/DRUGBANK_DB00907
DRUGBANK:DB00040,http://purl.obolibrary.org/obo/DRUGBANK_DB00040
DRUGBANK:DB02375,http://purl.obolibrary.org/obo/DRUGBANK_DB02375
DRUGBANK:DB00122,http://purl.obolibrary.org/obo/DRUGBANK_DB00122
DRUGBANK:DB04557,http://purl.obolibrary.org/obo/DRUGBANK_DB04557
DRUGBANK:DB00009,http://purl.obolibrary.org/obo/DRUGBANK_DB00009
DRUGBANK:DB00328,http://purl.obolibrary.org/obo/DRUGBANK_DB00328
DRUGBANK:DB03166,http://purl.obolibrary.org/obo/DRUGBANK_DB03166
DRUGBANK:DB00130,http://purl.obolibrary.org/obo/DRUGBANK_DB00130
NCBITaxon:91836,http://purl.obolibrary.org/obo/NCBITaxon_91836
DRUGBANK:DB01370,http://purl.obolibrary.org/obo/DRUGBANK_DB01370
DRUGBANK:DB00163,http://purl.obolibrary.org/obo/DRUGBANK_DB00163
GO:0015758,http://purl.obolibrary.org/obo/GO_0015758
NCBITaxon:3699,http://purl.obolibrary.org/obo/NCBITaxon_3699
NCBITaxon:3700,http://purl.obolibrary.org/obo/NCBITaxon_3700
GO:0051705,http://purl.obolibrary.org/obo/GO_0051705
DRUGBANK:DB00917,http://purl.obolibrary.org/obo/DRUGBANK_DB00917
DRUGBANK:DB04630,http://purl.obolibrary.org/obo/DRUGBANK_DB04630
DRUGBANK:DB02377,http://purl.obolibrary.org/obo/DRUGBANK_DB02377
DRUGBANK:DB10575,http://purl.obolibrary.org/obo/DRUGBANK_DB10575
DRUGBANK:DB09126,http://purl.obolibrary.org/obo/DRUGBANK_DB09126
DRUGBANK:DB00603,http://purl.obolibrary.org/obo/DRUGBANK_DB00603
DRUGBANK:DB05098,http://purl.obolibrary.org/obo/DRUGBANK_DB05098
PR:P0CY06,http://purl.obolibrary.org/obo/PR_P0CY06
DRUGBANK:DB00571,http://purl.obolibrary.org/obo/DRUGBANK_DB00571
